,account_or_billing_issue,app_or_itunes_issue,battery_issue,connectivity_issue,device_functionality_issue,general_support,information_or_how_to,other,performance_freezing,software_update_issue
account_or_billing_issue,178,0,0,0,4,8,2,7,1,0
app_or_itunes_issue,15,162,0,2,11,4,2,1,2,1
battery_issue,3,2,176,2,2,2,3,0,2,8
connectivity_issue,2,2,0,172,3,5,9,5,0,2
device_functionality_issue,0,5,0,0,168,6,8,11,2,0
general_support,0,1,1,3,1,122,59,9,4,0
information_or_how_to,1,6,0,2,2,46,104,35,4,0
other,2,4,0,0,0,2,7,183,2,0
performance_freezing,2,13,0,5,13,5,6,12,144,0
software_update_issue,1,5,0,3,4,4,2,3,5,173
